Дата и время,ID пользователя,Имя пользователя,Имя,Фамилия,ID чата,Тип чата,Текст комментария,Тег,Уверенность,Объяснение
2025-08-21 20:11:50,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,"всем привет, какие новости по апдейтам","Общие вопросы, баги",0.85,"Комментарий 'всем привет, какие новости по апдейтам' относится к общим вопросам об обновлениях игры. Он не содержит конкретных жалоб или предложений, связанных с другими категориями, такими как офферы, UX или ивенты. Вопрос о новостях по апдейтам чаще всего попадает в категорию общих вопросов, так как это запрос информации о текущем состоянии игры."
2025-08-21 20:12:15,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,"пошел ты к черту, маменькин сынок",Не определен,0.9,"Комментарий не содержит конкретной информации, относящейся к каким-либо аспектам игры, таким как офферы, UX, ивенты или баги. Он является оскорблением и не предоставляет контекста, который можно было бы классифицировать в рамках предложенных категорий."
2025-08-21 20:12:39,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,у вас поломалась менюшка вроде,"Общие вопросы, баги",0.85,"Комментарий 'у вас поломалась менюшка вроде' указывает на проблему с функциональностью меню, что относится к техническим проблемам и багам. Хотя меню также связано с UX, в данном случае акцент сделан на поломку, что больше соответствует категории 'Общие вопросы, баги'. Уровень уверенности снижен до 0.85 из-за неясности формулировки 'вроде', которая может указывать на неуверенность игрока в проблеме."
2025-08-21 20:20:29,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,"👨‍🚀 Штаб подготовил новое обновление 3.18.1. Постепенно оно становится доступным для всех Командиров. Вот список изменений.

Экономика Арены
🔻 Штаб продолжает работать над системой улучшений модулей и кораблей с учетом обратной связи Командиров. В этом обновлении изменена система улучшения параметров кораблей. Теперь Командиры могут гарантированно улучшить прокачиваемый параметр спустя заданное количество попыток. Число попыток зависит от шанса успеха прокачки. Новая система действует для всех обычных и особых кораблей.
🔻 На Арене появилась новая галактика - Черная дыра! Исследуя ее, Командиры могут найти чертежи на новые особые корабли. Среди прочего возможного лута - Координаты Эпсилон, Дзета, Бета, Дельта и Тета, чипы и золотые чипы, блоки успеха на 30%, 60% и 90% и 1-3 Декриптора.

Игровые режимы
🔻 Добавлен новый PvE режим - Рейды. Командирам предстоит выполнить контракты Торгового Консорциума по защите Харвестера, грузового корабля. Необходимо зачистить как можно больше скоплений астероидов, чтобы Харвестер смог добыть руду - Вирилум. Она понадобится для улучшения предоставленных модулей, ремонта кораблей вашей флотилии и внесения изменений в их готовые сборки.

Рейд начинается с выбора кораблей, которые примут участие в выполнении миссии. Торговый Консорциум ставит специальные условия, ограничивая максимально возможный класс кораблей, которые вы можете использовать. Ставить одинаковые корабли нельзя. После начала Рейда вы не сможете изменить состав своей флотилии. Наемников же можно будет нанять и во время Рейда за Селестий. Корабли в этом режиме теряют модули, уничтоженные в бою. Не переживайте: их можно починить в любой момент за Селестий и за Вирилум на Ремонтных станциях.

Командирам доступны модули для кораблей на время выполнения контракта. Они отображены в главном меню события. Их можно улучшить за добытый Вирилум. Список модулей, доступных для улучшения, обновляется после каждой зачистки скоплений астероидов. Список можно также обновлять за Вирилум.

Собрав свою флотилию, Командиры отправляются на свою первую зачистку скоплений. Командиры могут отслеживать процесс зачисток на специальной карте скоплений.

Всего есть четыре вида скоплений:

- Залежи Вирилума. За победу Командир получает Вирилум, а также несколько наград Рейда.
- Аномалия. За победу Командир получает Вирилум, несколько наград Рейда, а также Аномалию. Это - уникальный модификатор, который влияет на ваши корабли и модули. Они находятся в главном меню в разделе Аномалии. Любой модификатор Аномалий можно сменить на другой за Селестий перед каждой зачисткой.
- Ремонтная станция. За победу Командир получает Вирилум, несколько наград Рейда, а также право воспользоваться Ремонтной станцией. После зачистки такого скопления Командир может отремонтировать свои корабли, изменить сборку на них, а также изменить сборку кораблей наемников за Вирилум.
- Босс и Босс-Флотилия. За победу Командир получает Вирилум, а также несколько наград Рейда. Победить эти корабли будет непростой задачей.

Среди наград Рейда - Кредиты, чипы и золотые чипы, блоки успеха, Галактики, Декрипторы и Мощные Декрипторы, а также чертежи на новые особые корабли. Список наград может обновляться каждый новый Рейд.

Командиры могут закончить весь Рейд после любой зачистки. В этом случае вы завершите контракт и заберете награды за выполненные зачистки. Награды за нетронутые зачистки будут недоступны.

Первый Рейд стартует уже совсем скоро. Следите за новостями.

Модули и корабли
🔻 Добавлен льготный период для новых кораблей. Теперь Командирам-держателям новинок доступны преимущества льготного периода. Благодаря ему, Командиры могут быстрее и дешевле прокачивать новинки.

Период действует и для нового корвета Acolyte, который недавно появился на Арене. Срок действия - 60 дней с момента появления предложения о покупке нового корабля.","Ивенты, режимы",0.9,"Комментарий в основном сосредоточен на описании нового игрового режима 'Рейды' и изменений в системе улучшений кораблей, что относится к категории 'Ивенты, режимы'. Ключевые слова и фразы, такие как 'новый PvE режим', 'Рейды', 'зачистка скоплений', 'награды Рейда', указывают на обсуждение игрового контента и механик, связанных с режимами и событиями. Хотя упоминается льготный период для новых кораблей, что может касаться 'Офферы, магазин', основной акцент все же на новых игровых режимах и механиках."
2025-08-21 20:20:59,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,А реклама для совсем бедных/жадных )),"Офферы, магазин",0.85,"Комментарий 'А реклама для совсем бедных/жадных ))' указывает на негативное восприятие рекламных предложений в игре. Использование слов 'бедных/жадных' предполагает, что игрок считает рекламу невыгодной или навязчивой, что связано с восприятием ценности и качества предложений в магазине. Хотя комментарий не упоминает конкретно цены или покупки, эмоциональная окраска и контекст указывают на недовольство рекламными офферами."
2025-08-21 20:22:05,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,Такие корабли будут во всех классах?,Не определен,0.6,"Комментарий 'Такие корабли будут во всех классах?' не содержит явных указаний на конкретную категорию. Он представляет собой вопрос, который может касаться как игрового контента (например, доступность кораблей в разных классах), так и общих вопросов по игре. Однако, он не содержит информации, которая бы четко относилась к 'Офферы, магазин', 'UX, визуал', 'Ивенты, режимы' или 'Общие вопросы, баги'. Из-за отсутствия контекста и специфики, наиболее подходящая категория - 'Не определен'."
2025-08-21 20:22:45,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,А новый синий супергал в каком месяце?,"Ивенты, режимы",0.8,"Комментарий 'А новый синий супергал в каком месяце?' вероятно относится к вопросу о новом игровом контенте, который может быть частью события или временной активности. 'Синий супергал' звучит как название или описание игрового элемента, который может быть связан с ивентом. Однако, поскольку в комментарии нет явного упоминания о событии или режиме, уверенность не максимальная."
2025-08-21 20:24:18,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,"сначала надо закончить с текущими кораблями в плане
но думаю, что в этом году точно появится",Не определен,0.5,"Комментарий не содержит явных указаний на конкретную категорию. Фраза 'сначала надо закончить с текущими кораблями в плане' может относиться к различным аспектам игры, таким как завершение разработки или улучшение текущих игровых элементов, но не указывает на конкретную проблему или предложение. Вторая часть 'но думаю, что в этом году точно появится' также не дает ясности о том, что именно должно появиться, будь то новый контент, улучшения или исправления. Из-за отсутствия конкретики и контекста, комментарий не может быть уверенно отнесен к одной из предложенных категорий."
2025-08-21 20:25:22,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,Корабль с интегрированным модулем у конкурентов. Возникает вопрос - как его улучшать?,"Общие вопросы, баги",0.7,"Комментарий содержит вопрос о том, как улучшать корабль с интегрированным модулем, что может относиться к общим вопросам по игре. Однако, упоминание конкурентов и отсутствие конкретных деталей делает его несколько неясным. Вопрос не касается напрямую офферов, UX или ивентов, поэтому наиболее подходящей категорией является 'Общие вопросы, баги'. Уровень уверенности снижен из-за неясности контекста."
2025-08-21 20:26:34,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,А смысл играть если бы за отсутствие игры давали бы шарики...,"Ивенты, режимы",0.7,"Комментарий выражает недовольство отсутствием наград за неучастие в игре, что может быть связано с системой наград в ивентах или режимах. Упоминание 'шариков' как награды указывает на ожидание получения чего-то за участие или неучастие в игровых событиях. Однако, из-за неясности формулировки и отсутствия прямых указаний на конкретные ивенты или режимы, уверенность ниже максимальной."
2025-08-21 20:27:12,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,Сложности возникли с последним батл пассом где задания на пилотов и на манипуляции с пилотами),"Ивенты, режимы",0.9,"Комментарий касается сложностей с последним батл пассом, который является частью игрового события или режима. Упоминание заданий на пилотов и манипуляции с ними указывает на элементы геймплея, связанные с прохождением миссий или задач в рамках ивента. Это делает категорию 'Ивенты, режимы' наиболее подходящей."
2025-08-22 08:07:07,829310905,nasekaajloo,sophi,nasekajlo,-4868212200,group,Сложности возникли с последним батл пассом где задания на пилотов и на манипуляции с пилотами),"Ивенты, режимы",0.85,"Комментарий касается сложностей с последним батл пассом, что указывает на проблемы с игровым событием или режимом. Упоминание заданий на пилотов и манипуляции с ними также указывает на элементы игрового процесса, связанные с ивентами. Хотя есть элементы, которые могут касаться багов, основное внимание уделено игровому режиму батл пасса."
2025-08-26 15:17:38,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,"всем привет, какие новости",Не определен,0.8,"Комментарий 'всем привет, какие новости' не содержит конкретной информации, относящейся к одной из категорий. Он является общим приветствием и вопросом о новостях, без указания на конкретные аспекты игры, такие как офферы, UX, ивенты или баги. Отсутствие контекста и специфики делает его неясным для точной классификации."
2025-08-26 15:25:47,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,как у вас погода,Не определен,0.9,"Комментарий 'как у вас погода' не содержит информации, относящейся к какой-либо из категорий, связанных с игровым процессом, интерфейсом, ивентами или техническими вопросами. Это скорее общая фраза, не связанная с контекстом игры."
2025-08-26 16:10:02,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,как у вас погода,Не определен,0.9,"Комментарий 'как у вас погода' не содержит информации, относящейся к игровым аспектам, таким как офферы, UX, ивенты или общие вопросы и баги. Это скорее общий вопрос, не связанный с игрой, поэтому он не подходит ни к одной из предложенных категорий."
2025-08-26 16:10:23,91805201,arteg0r,Peter,Shestakov,91805201,private,/start,Не определен,0.8,"Комментарий '/start' не содержит информации, относящейся к какой-либо из категорий. Это может быть команда или приветствие, но без контекста невозможно определить его связь с конкретной категорией. Отсутствуют ключевые слова, указывающие на офферы, UX, ивенты или баги."
2025-08-26 16:13:12,91805201,arteg0r,Peter,Shestakov,-4868212200,group,тест тест,Не определен,0.2,"Комментарий 'тест тест' не содержит информации, которая могла бы быть отнесена к одной из предложенных категорий. Он не имеет конкретного содержания, связанного с игровым процессом, интерфейсом, багами или магазином. Это просто повторение слова 'тест', что может указывать на проверку функциональности комментариев или случайный ввод текста. Уровень уверенности низкий, так как нет контекста или ключевых слов для анализа."
2025-08-26 16:13:50,91805201,arteg0r,Peter,Shestakov,91805201,private,привет привет,Не определен,0.9,"Комментарий 'привет привет' не содержит информации, относящейся к какой-либо из категорий. Это просто приветствие, не связанное с игровыми аспектами, такими как офферы, UX, ивенты или баги. Нет контекста или эмоциональной окраски, которые могли бы помочь в классификации."
2025-08-26 17:39:15,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,"как у вас дела? у меня все нормально реюята

корабли работаю?","Общие вопросы, баги",0.7,"Комментарий содержит вопрос 'корабли работаю?', который может указывать на техническую проблему или баг, связанный с функциональностью кораблей. Однако, из-за неясности и отсутствия контекста, уверенность ниже. Начальная часть комментария 'как у вас дела? у меня все нормально реюята' не содержит информации, относящейся к конкретной категории, но добавляет общую неформальную окраску."
2025-08-26 18:01:50,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,"как у вас дела? у меня все нормально реюята

корабли работают?","Корабли, вопросы, Общие вопросы, баги",0.7,"Комментарий содержит вопрос 'корабли работают?', что указывает на интерес к функциональности или состоянию кораблей, что соответствует категории 'Корабли, вопросы'. Однако, вопрос о том, работают ли корабли, также может подразумевать наличие технической проблемы или бага, что относится к категории 'Общие вопросы, баги'. Эмоциональная окраска нейтральная, и нет явных признаков других категорий."
2025-08-26 18:31:09,829310905,nasekaajloo,sophi,nasekajlo,829310905,private,Ещё чёрную полоску в правом нижнему углу надо добавить...,"UX, визуал",0.85,"Комментарий 'Ещё чёрную полоску в правом нижнему углу надо добавить...' явно касается предложения по изменению визуального оформления интерфейса игры. Упоминание 'чёрной полоски' указывает на элемент дизайна, который игрок хотел бы видеть в интерфейсе. Это соответствует категории 'UX, визуал', так как речь идет о предложении по изменению дизайна интерфейса."
2025-08-27 13:47:06,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,"выпало тфф, типа нам пи3дA",Не определен,0.6,"Комментарий 'выпало тфф, типа нам пи3дA' не содержит явных указаний на какую-либо из категорий. Использование сленга и нецензурной лексики затрудняет понимание контекста. Возможно, это выражение недовольства, но без конкретики невозможно отнести его к одной из предложенных категорий."
2025-08-27 13:47:24,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,"выпало ТФФ, нам пёсда",Не определен,0.3,"Комментарий 'выпало ТФФ, нам пёсда' не содержит достаточной информации для точной классификации. 'ТФФ' может быть сленгом или аббревиатурой, но без контекста его значение неясно. Эмоциональная окраска комментария указывает на негативное восприятие, но это не помогает определить конкретную категорию. В связи с отсутствием конкретных деталей, комментарий классифицирован как 'Не определен'."
2025-08-27 13:51:15,443550888,XyHTa,XyHTa,,-1002434063014,supergroup,"Ну вообще то это ""мы облажались""",Не определен,0.6,"Комментарий 'Ну вообще то это 'мы облажались'' не содержит конкретной информации, относящейся к какой-либо из категорий. Он выражает общее недовольство или критику, но без указания на конкретные аспекты игры, такие как офферы, UX, ивенты и т.д. Из-за отсутствия контекста и конкретики, его сложно отнести к одной из предложенных категорий."
2025-08-27 13:52:24,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,это fucked up,Не определен,0.5,"Комментарий 'это fucked up' слишком общий и не содержит конкретной информации, которая позволила бы отнести его к одной из семи категорий. Он выражает негативную эмоцию, но не указывает на конкретную проблему или аспект игры, который вызывает недовольство. Без дополнительного контекста невозможно точно определить, к какой категории он относится."
2025-08-27 13:52:43,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,это факед ап,Не определен,0.6,"Комментарий 'это факед ап' является неясным и не содержит конкретной информации, которая могла бы быть отнесена к одной из предложенных категорий. Он выражает негативное отношение, но не указывает на конкретную проблему или аспект игры. Из-за отсутствия контекста и деталей, невозможно точно определить, к какой категории он относится."
2025-08-27 13:54:03,443550888,XyHTa,XyHTa,,-1002434063014,supergroup,Ну я Гуглом переводил,Не определен,0.7,"Комментарий 'Ну я Гуглом переводил' не содержит информации, относящейся к какой-либо из категорий. Он не упоминает ни офферы, ни UX, ни игровые элементы, такие как ивенты, пилоты, модули или корабли. Также нет указаний на общие вопросы или баги. Это скорее комментарий о процессе перевода, который не связан с контекстом игры."
2025-08-27 13:54:47,247726730,Mikhail_Liga,Mikhail,Shelonin,-1002434063014,supergroup,Тогда все понятно.,Не определен,0.5,"Комментарий 'Тогда все понятно.' не содержит конкретной информации, которая позволила бы отнести его к одной из предложенных категорий. Он не указывает на конкретные аспекты игры, такие как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. Без дополнительного контекста невозможно определить, к чему именно относится данный комментарий."
2025-08-27 13:56:18,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,В общий чатик плз,Не определен,0.7,"Комментарий 'В общий чатик плз' не содержит конкретной информации, которая бы позволила отнести его к одной из предложенных категорий. Он не касается ни офферов, ни UX, ни игровых режимов, ни других аспектов игры. Возможно, это просьба добавить или изменить функционал чата, но без дополнительных деталей это предположение остается неясным."
2025-08-27 14:05:25,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,У меня в среднем уходит на рейд 25-30 минут,"Ивенты, режимы",0.8,"Комментарий 'У меня в среднем уходит на рейд 25-30 минут' касается времени, затрачиваемого на рейд, что является частью игрового режима. Хотя в комментарии нет прямого упоминания о сложности или предложениях по улучшению, он все же относится к категории 'Ивенты, режимы', так как рейды обычно являются частью временных активностей или игровых режимов. Уверенность не максимальная, так как нет дополнительных деталей, которые могли бы подтвердить связь с другими аспектами режима."
2025-08-27 14:05:29,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,1 раз собрал и побежал,Не определен,0.3,"Комментарий '1 раз собрал и побежал' не содержит явных указаний на какую-либо из категорий. Он слишком краткий и неясный, чтобы определить его связь с конкретными аспектами игры, такими как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. Без дополнительного контекста невозможно точно классифицировать его."
2025-08-27 14:05:40,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,Вчера не очень заход получился,Не определен,0.6,"Комментарий 'Вчера не очень заход получился' не содержит конкретной информации, которая бы позволила отнести его к одной из семи категорий. Он может подразумевать неудачную игровую сессию, но без дополнительных деталей невозможно определить, связано ли это с ивентами, багами, или чем-то другим. Уровень уверенности низкий из-за отсутствия контекста и специфики."
2025-08-27 14:07:07,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,Пришлось реснуть корабль 😭 потратил 75 сеал в общей сложности 50 на рес и чет испугался и купил 1 раз камни за 25 😅,"Офферы, магазин, Корабли, вопросы",0.85,"Комментарий содержит упоминание о покупке камней за 25 сеал, что относится к категории 'Офферы, магазин', так как касается трат и покупок в игре. Также упоминается рес корабля, что может относиться к категории 'Корабли, вопросы', так как связано с действиями, которые игрок совершает с кораблем. Эмоциональная окраска комментария указывает на переживания игрока по поводу своих действий и трат."
2025-08-27 14:08:08,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,Хотел без сеал пройти но там мины у челиков были,"Ивенты, режимы",0.8,"Комментарий касается прохождения миссии или игрового режима, где игрок столкнулся с трудностью из-за наличия мин у противников. Это указывает на обсуждение игрового процесса, связанного с режимами или событиями. Упоминание 'сеал' может быть связано с игровым сленгом или стратегией, но основной акцент на сложности прохождения из-за мин, что относится к 'Ивенты, режимы'."
2025-08-27 14:09:08,5558050481,ViaR_17,ViaR,,-1002434063014,supergroup,Прыжок прям в мины,Не определен,0.4,"Комментарий 'Прыжок прям в мины' не содержит достаточной информации для точной классификации. Он может относиться к игровому процессу, возможно, к механике прыжков или ловушек, но без дополнительных деталей невозможно определить, к какой из категорий он относится. Это может быть связано с игровыми режимами, багами или даже с визуальными аспектами, но уверенность в этом низкая."
2025-08-27 14:13:05,301685571,SergeyShprot,Sergey,Shprot,-1002434063014,supergroup,Прыжок веры!,Не определен,0.3,"Комментарий 'Прыжок веры!' не содержит конкретной информации, которая могла бы быть отнесена к одной из семи категорий. Это может быть отсылка к игровому элементу или событию, но без дополнительного контекста невозможно точно определить его категорию. Уровень уверенности низкий из-за отсутствия конкретных ключевых слов или контекста."
