id,created_at,user_id,username,first_name,last_name,chat_id,chat_type,comment_text,tag,confidence,reasoning,game_id
13224,2026-01-26 06:34:24.506697,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Эу,Не определен,0.7,"Комментарий 'Эу' слишком короткий и не содержит информации, которая могла бы быть отнесена к какой-либо из категорий. Он не предоставляет контекста или ключевых слов, которые могли бы помочь в классификации. Возможно, это междометие или случайная последовательность символов, не имеющая отношения к игре.",97
13225,2026-01-26 06:34:36.55754,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,В место энерго брони обычную забыл поставить,"Модули, вопросы",0.85,"Комментарий касается замены одного типа брони на другой, что указывает на обсуждение модулей или компонентов корабля. Упоминание 'энерго брони' и 'обычную' предполагает, что игрок обсуждает выбор или установку модулей, что соответствует категории 'Модули, вопросы'.",97
13226,2026-01-26 06:45:32.190142,7794113124,MARKKVASS,КВАС по имени МАРК,,-1002434063014,supergroup,Проходняки не надо качать,Не определен,0.5,"Комментарий 'Проходняки не надо качать' не содержит явных указаний на конкретные аспекты игры, такие как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. 'Проходняки' может быть сленговым термином, но без контекста его значение неясно. Поэтому классификация затруднена.",97
13227,2026-01-26 06:50:38.931201,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Всм?,Не определен,0.7,"Комментарий 'Всм?' слишком короткий и не содержит достаточной информации для точной классификации. Он не указывает на конкретные аспекты игры, такие как офферы, UX, ивенты или другие категории. Это может быть сокращение от 'в смысле?', что указывает на недоумение или просьбу о разъяснении, но без контекста невозможно определить, к чему именно это относится.",97
13228,2026-01-26 07:19:39.003003,5141403053,Bogdan_Amelkin,Bogdan,Amelkin,-1002434063014,supergroup,"Корабли, которые надо будет выкинуть из ангара через пару дней.","Корабли, вопросы",0.85,"Комментарий касается кораблей и их использования, предполагая, что они станут ненужными через короткий промежуток времени. Это указывает на вопросы о целесообразности их использования или содержания, что соответствует категории 'Корабли, вопросы'. Однако, поскольку нет прямого вопроса или сравнения, уверенность немного снижена.",97
13229,2026-01-26 07:36:05.59106,1797320054,SUMKA550,KILL DROID,[Sumka550],-1002434063014,supergroup,Понял,Не определен,0.2,"Комментарий 'Понял' слишком краток и не содержит информации, которая могла бы быть отнесена к какой-либо из предложенных категорий. Он не предоставляет контекста или деталей, которые могли бы помочь в классификации. Уровень уверенности низкий из-за отсутствия конкретной информации.",97
13230,2026-01-26 08:41:48.940535,5154253054,zmey_gopblnbl4,Глеб,,-1002434063014,supergroup,Или снять/поставить их. Может кому-то они нафиг не нужны и тупо занимают полезное пространство,Не определен,0.6,"Комментарий не содержит явных указаний на конкретные элементы игры, такие как модули, корабли, или другие аспекты, описанные в категориях. Фраза 'снять/поставить их' и 'занимают полезное пространство' может относиться к различным аспектам игры, но без контекста невозможно точно определить, о чем идет речь. Это может касаться интерфейса, модулей или других элементов, но без дополнительных данных классификация затруднительна.",97
13231,2026-01-26 09:34:24.882532,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,Кто второй сезон фолыча смотрит? Как вам?,Не определен,0.7,"Комментарий не содержит информации, относящейся к игровым аспектам, описанным в категориях. Он касается обсуждения телевизионного шоу, а не элементов игры. Нет упоминаний о магазинах, UX, ивентах, пилотах, модулях, кораблях или общих вопросах и багах, связанных с игрой.",97
13232,2026-01-26 09:42:25.294254,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,норм,"Общие вопросы, баги",0.6,"Комментарий 'норм' является общим и кратким, без конкретики. Он может быть воспринят как общая оценка игры, что соответствует категории 'Общие вопросы, баги'. Однако, из-за отсутствия деталей и контекста, уверенность в этом выборе невысока.",97
13233,2026-01-26 09:42:34.398875,125493772,siberian_beast,Илья,Сотников,-1002434063014,supergroup,пока понятно что ничего не понятно,Не определен,0.7,"Комментарий 'пока понятно что ничего не понятно' не содержит конкретной информации, относящейся к какой-либо из предложенных категорий. Он выражает общее чувство замешательства или непонимания, но не указывает на конкретные аспекты игры, такие как офферы, UX, ивенты, пилоты, модули, корабли или баги. Из-за отсутствия конкретики и контекста, комментарий классифицируется как 'Не определен'.",97
13234,2026-01-26 10:12:52.875312,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,Да вроде все понятно,Не определен,0.6,"Комментарий 'Да вроде все понятно' не содержит конкретной информации, которая позволила бы отнести его к одной из семи категорий. Он не упоминает ни офферы, ни визуальные элементы, ни игровые режимы, ни пилотов, ни модули, ни корабли, ни общие вопросы или баги. Это общее утверждение, которое может относиться к любому аспекту игры, но без дополнительных деталей невозможно определить точную категорию.",97
13235,2026-01-26 10:13:01.521418,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Раскрывается перс гуль, Хэнк",Не определен,0.6,"Комментарий 'Раскрывается перс гуль, Хэнк' не содержит явных указаний на какую-либо из категорий. Он может относиться к персонажу или элементу игры, но без контекста трудно определить, к какой именно категории он относится. Возможно, это связано с пилотами или общими вопросами, но уверенность в этом низкая из-за отсутствия конкретной информации.",97
13236,2026-01-26 11:12:04.862937,816317179,,Николай,,-1002434063014,supergroup,"У меня не Яндекс и рекламы по 2 с лишним минуты, тоже 5 селы, еще с месяц назад писал. И также в игру заходит, только с впн или вайфай","Общие вопросы, баги, Офферы, магазин",0.85,"Комментарий касается технических проблем с доступом в игру, что относится к категории 'Общие вопросы, баги'. Упоминание о длительности рекламы и недовольство по этому поводу может быть связано с 'Офферы, магазин', так как реклама может быть частью монетизации игры. Ключевые слова: 'рекламы по 2 с лишним минуты', 'в игру заходит, только с впн или вайфай'.",97
13237,2026-01-26 11:17:12.824842,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Это два отдельных сообщения, поэтому отвечаю по ним отдельно:
1) на Яндексе предусмотрена награда в 5 Селестия, все верно. В среднем там реклама в 2-3 раза короче, но бывают изредка длинные рекламы
2) некоторые провайдеры начали опосредованно или непосредственно бросить сервера игры, фикс готовится с нашей стороны","Офферы, магазин, Общие вопросы, баги",0.85,"Первое сообщение касается награды в 5 Селестия за просмотр рекламы на Яндексе, что связано с офферами и магазином, так как это касается получения внутриигровой валюты через рекламу. Второе сообщение говорит о проблемах с серверами из-за провайдеров и о готовящемся фиксе, что относится к техническим проблемам и багам. Таким образом, оба сообщения охватывают две разные категории.",97
13238,2026-01-26 11:25:46.110077,816317179,,Николай,,-1002434063014,supergroup,"У меня не Яндекс на одном акк норм 10 селы, на другом 5 селы и ооочень редко короткая реклама это примерно 30-40 секунд, в основном длинные","Общие вопросы, баги",0.85,"Комментарий касается проблемы с рекламой, которая может быть связана с техническими аспектами игры, такими как длительность и частота показа рекламы. Это указывает на категорию 'Общие вопросы, баги', так как игрок описывает проблему с рекламой, которая может быть воспринята как баг или техническая проблема. Упоминание разных аккаунтов также может указывать на проблему с настройками или синхронизацией, что также относится к этой категории.",97
13239,2026-01-26 11:28:46.032255,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Скинь в ЛС видео с двух аккаунтов с разными значениями Селестия и айдишники, посмотрим",Не определен,0.6,"Комментарий не содержит явных указаний на какую-либо из категорий. Он скорее относится к просьбе о предоставлении видео и информации об аккаунтах, что не соответствует ни одной из предложенных категорий. Нет упоминаний о магазинах, UX, ивентах, пилотах, модулях, кораблях или общих вопросах и багах.",97
13240,2026-01-26 11:30:05.772209,836687488,MaestroVV,Илья,К,-1002434063014,supergroup,"У меня с телефона 5 селы, это норм?","Общие вопросы, баги",0.8,"Комментарий 'У меня с телефона 5 селы, это норм?' скорее всего относится к технической проблеме или багу, так как игрок упоминает о странном поведении устройства (телефона), что может быть связано с игрой. Однако, без дополнительного контекста, сложно точно определить, что именно подразумевается под '5 селы'. Это может быть ошибка или баг, связанный с игрой, поэтому наиболее подходящей категорией является 'Общие вопросы, баги'. Уверенность не максимальная из-за неясности термина '5 селы'.",97
13241,2026-01-26 11:32:08.055505,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Напомни айди, в ЛС, глянем",Не определен,0.7,"Комментарий 'Напомни айди, в ЛС, глянем' не содержит информации, относящейся к какой-либо из категорий. Он скорее всего связан с личным общением между игроками, возможно, касающимся обмена информацией или помощи, но не предоставляет контекста, чтобы точно определить категорию.",97
13242,2026-01-26 11:33:07.411954,836687488,MaestroVV,Илья,К,-1002434063014,supergroup,#1OOWDEOH14W,Не определен,0.1,"Комментарий '#1OOWDEOH14W' не содержит никакой информации, которая могла бы быть отнесена к одной из категорий. Это выглядит как случайный набор символов или код, который не имеет явного смысла или контекста, связанного с игрой. Поэтому невозможно определить категорию или сделать обоснованный вывод.",97
13243,2026-01-26 12:33:15.918558,6780660664,Yarikzombarik,Ярослав,,-1002434063014,supergroup,А можно сборочку на валькирию 10лвл,"Корабли, вопросы",0.9,"Комментарий 'А можно сборочку на валькирию 10лвл' явно относится к запросу информации о сборке для конкретного корабля, в данном случае 'валькирия' на 10 уровне. Это указывает на интерес к характеристикам и оптимизации корабля, что соответствует категории 'Корабли, вопросы'. Уровень уверенности высокий, так как запрос четко связан с кораблем и его настройкой.",97
13244,2026-01-26 12:38:51.263096,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,А можно сборочку на валькирию 10лвл,"Корабли, вопросы",0.9,"Комментарий 'А можно сборочку на валькирию 10лвл' явно относится к запросу на советы по сборке корабля 'Валькирия' 10 уровня. Это указывает на интерес к характеристикам и оптимизации корабля, что соответствует категории 'Корабли, вопросы'.",97
13245,2026-01-26 13:07:37.556466,7421075118,Izumo777,Kylo Ren,,-1002434063014,supergroup,Можно сборку на этот крейсер пожалуйста не знаю что ставить,"Модули, вопросы, Корабли, вопросы",0.85,"Комментарий игрока касается сборки на крейсер, что подразумевает вопросы о модулях, которые следует установить на корабль. Это включает в себя как вопросы о модулях, так и о кораблях, поскольку игрок не знает, что ставить на конкретный крейсер. Ключевые слова: 'сборка', 'крейсер', 'что ставить'.",97
13246,2026-01-26 13:13:23.113774,7421075118,Izumo777,Kylo Ren,,-1002434063014,supergroup,Мне для опыта,Не определен,0.4,"Комментарий 'Мне для опыта' слишком краток и не содержит конкретной информации, которая позволила бы отнести его к одной из категорий. Нет упоминаний о покупках, визуале, ивентах, пилотах, модулях, кораблях или общих вопросах. Из-за отсутствия контекста и конкретики, невозможно точно определить категорию.",97
13247,2026-01-26 13:16:30.099639,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,А попробуй что-то сам сделать для начала и скинь сюда,Не определен,0.7,"Комментарий 'А попробуй что-то сам сделать для начала и скинь сюда' не содержит конкретной информации, относящейся к какой-либо из категорий. Он звучит как вызов или предложение, но не указывает на конкретные аспекты игры, такие как офферы, UX, ивенты и т.д. Из-за отсутствия контекста и конкретики, невозможно точно определить категорию.",97
13248,2026-01-26 13:16:32.919081,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,Так будет проще :),Не определен,0.3,"Комментарий 'Так будет проще :)' не содержит конкретной информации, которая могла бы быть отнесена к одной из категорий. Он не указывает на конкретные аспекты игры, такие как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. Также отсутствует контекст, который позволил бы сделать более точное предположение. Уровень уверенности низкий из-за отсутствия конкретики.",97
13249,2026-01-26 13:16:59.478535,7421075118,Izumo777,Kylo Ren,,-1002434063014,supergroup,Окей,Не определен,0.5,"Комментарий 'Окей' слишком краткий и не содержит конкретной информации, которая позволила бы отнести его к одной из предложенных категорий. Он не указывает на какие-либо аспекты игры, такие как офферы, UX, ивенты или другие элементы. Это может быть просто выражение согласия или подтверждение, но без контекста невозможно определить точную категорию.",97
13250,2026-01-26 13:20:56.093513,7421075118,Izumo777,Kylo Ren,,-1002434063014,supergroup,Фигня получилось,Не определен,0.3,"Комментарий 'Фигня получилось' слишком краток и не содержит конкретной информации, которая позволила бы отнести его к одной из категорий. Нет указаний на конкретные аспекты игры, такие как офферы, UX, ивенты или другие элементы. Эмоциональная окраска негативная, но без контекста невозможно определить, к чему именно относится недовольство.",97
13251,2026-01-26 13:21:20.414238,7421075118,Izumo777,Kylo Ren,,-1002434063014,supergroup,Да собрал но фигня не мастер пока что собирать корабли,"Корабли, вопросы",0.85,"Комментарий 'Да собрал но фигня не мастер пока что собирать корабли' явно указывает на проблемы с процессом сборки кораблей. Ключевые слова 'собирать корабли' указывают на категорию 'Корабли, вопросы'. Эмоциональная окраска комментария ('фигня') также подчеркивает недовольство текущим состоянием или процессом, что связано с вопросами о кораблях.",97
13252,2026-01-26 13:22:51.255175,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,"Можешь ещё написать, что из модулей сейчас качаешь, думаю поможет тем, кто захочет подсказать","Модули, вопросы",0.85,"Комментарий касается обсуждения модулей, их прокачки и обмена советами между игроками. Ключевые слова: 'модули', 'качаешь', 'поможет', 'подсказать'. Это указывает на интерес к модулям и их прокачке, что соответствует категории 'Модули, вопросы'.",97
13253,2026-01-26 13:23:02.209402,485940775,Dem0sfen,Сергей,,-1002434063014,supergroup,Заодно и в клан пригласят,Не определен,0.6,"Комментарий 'Заодно и в клан пригласят' не содержит конкретной информации, относящейся к одной из предложенных категорий. Он может подразумевать социальный аспект игры, связанный с кланами, но это не соответствует ни одной из категорий, таких как офферы, UX, ивенты, пилоты, модули, корабли или общие вопросы и баги. Из-за отсутствия контекста и конкретики, комментарий классифицирован как 'Не определен'.",97
13254,2026-01-26 13:24:34.313195,5028376536,,[Z]Горыны4,,-1002434063014,supergroup,Сегодня в АФ выпало. 😋,Не определен,0.3,"Комментарий 'Сегодня в АФ выпало. 😋' не содержит достаточной информации для точной классификации. 'АФ' может быть аббревиатурой, но без контекста невозможно определить, к какой категории она относится. Эмоциональная окраска положительная, но это не помогает в определении категории.",97
